# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYLD	1540	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21109933
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP17A1	1586	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15341023
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP1A1	1543	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15341023
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP1A2	1544	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP2B6	1555	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP2C8	1558	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP2E1	1571	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15162526
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP39A1	51302	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CYP4A11	1579	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DBH	1621	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DCAF4L2	138009	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DCN	1634	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DEPDC1	55635	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DEPDC1B	55789	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DEPDC5	9681	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21725309
d008107	Carcinoma, Hepatocellular	MESH:D006528	DIPK2B	79742	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DIRAS3	9077	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DLGAP5	9787	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DNAJC6	9829	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DNASE1L3	1776	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	DPYD	1806	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18019677
d008107	Carcinoma, Hepatocellular	MESH:D006528	DTL	51514	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	E2F1	1869	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12029619|15565109|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	E2F8	79733	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	EAF2	55840	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		20564326
d008107	Carcinoma, Hepatocellular	MESH:D006528	ECM1	1893	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	ECT2	1894	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
